indexer_name,wallet_address
Mad Max Validator,0x5e98a3ae86332d5f493f88f6e0c363fda891d30f
Maple Nodes,0x5ddee9720e17aad28febb55643cd8ab50c51c60b
Maple Nodes,0xbfe2a198cb0cdfb50fb03cd932c7387ddb0d25aa
Mind Heart Soul,0x5b3c8f7245dfbd9bea22d9c4b975df60a638e5a3
Mind Heart Soul,0x427f071e335bfa32241bbfa7f240f24a8a46f292
Mind Heart Soul,0x4437e367cc68d87675148a9e4a1f052f0359c880
Moonli,0x2e8d26e9b0d280738728e71c37bf05e70a636238
Moonli,0xddc39dceb6d8fb94d8a9b59cf3bf9a1e7ae19034
NFTX,0xaa29881aac939a025a3ab58024d7dd46200fb93d
NFTX,0xfcb576bc8ee187945fa00f0daa7bbe9c1b51b0c9
NFTX,0x3863a65ce278a240f9aa2a4b4a48493be59e6139
Nodeify,0xb4b4570df6f7fe320f10fdfb702dba7e35244550
Nodes Up,0x80451b373f865f8143ee6a75445228c6c097ae7e
Only Nodes,0xbb31364ed8192494371d94a6c1cab02351ebfcbb
Oraclegen,0x01f17c392614c7ea586e7272ed348efee21b90a3
Oraclegen,0x4fedde33607cfda2c82a999accb427d1170987d9
P-OPS,0xfeff9093f6b32d0e5cddba743b06a1fedb87c004
P-OPS,0x1a99dd7d916117a523f3ce6510dcfd6bceab11e7
P2P Validator,0x2121bc6437100fc21d19a9eea30898419e020afa
P2P Validator,0x5a8904be09625965d9aec4bffd30d853438a053e
P2P Validator,0x2f09092aacd80196fc984908c5a9a7ab3ee4f1ce
P2P Validator,0xf4a097ce3a4efbd1748b2ef2076813961e4e6fa7
P2P Validator,0xf00f7157fa8fd0420b87956d46058a16b2f23adc
PDP Project,0xa9b5da22440dedd72535ec0525582ca0b63be5e1
Patchrock,0x594f52d3fccda979bb036bf14ea43a9d6f307f35
Perfect Stake,0x4c2bcfd78a30931b7ca73c84f05670bb34ce58ee
Perfect Stake,0xc36157756ea4838cf882edab9dd94325c38f2edc
Pinax,0xedca8740873152ff30a2696add66d1ab41882beb
Pinax,0x3717cef8020bddee7a18f4efb2bfa88fefdcb1bc
Protofire,0x0fd8fd1dc8162148cb9413062fe6c6b144335dbf
Protofire,0xb06071394531b63b0bac78f27e12dc2beaa913e4
Protofire,0xf435dee64819590c1a3f5913822e1c04afebe695
Ramp DeFi,0xc9014686f6336ad558b539565d5dff840b339082
Ramp DeFi,0x17def1a43a323c711c7a32101ecf41e58eff54a2
Ramp DeFi,0x32bbd16a94ebb289edceebe77f35acc82664157b
RickyData,0x74dbb201ecc0b16934e68377bc13013883d9417b
Roditel,0xaddd3e23599d2b7267067afbcd18830aefca640a
Roditel,0xe7a694696a4d11ac0b7ab2dcb99a7fcf200eb00b
Ryabina,0x9da1017766bfeb2835db4f811516eea68996538b
Ryabina,0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d
Ryabina,0xbb784d9b398271b7a64f975bebde869409691915
Ryabina,0x9238584c74e5fa445a8f72a4d4ef4699dd783852
Ryabina,0x8a1729fe84c53c231c7ae53a5bec3f6e9953cb4b
Semiotic Labs,0x6f8a032b4b1ee622ef2f0fc091bdbb98cfae81a3
Semiotic Labs,0xd75c4dbcb215a6cf9097cfbcc70aab2596b96a9c
Stake Craft,0x51637a35f7f054c98ed51904de939b9561d37885
Stake Machine,0x1692a8710dcf0dce24bd34c028479176b97ee9ef
Stake Machine,0xe0ceec6daa59cc951f3f71d6fc4221e55ef6c386
Stake Service,0x19fbac0891042be71ce60321a17720358575f580
StakeSquid,0x066636093e6c3417a0b46c3ecfbd34b5bda00092
StakeSquid,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e
StakeSquid,0x3f74870f80ff7449fe4c6ff257da5fa72734c970
StakeSquid,0xdec965f0604125be05cd8a136c85d02ef344d61a
StakeSquid,0xaa988dcb035518bc0e20082a3148a5d3dfd1776d
StakeSquid,0x0c3aab9f49c01070ec359aae4778fcbb01d2fbef
StakeSquid,0x3f2eeb69778671883c912581cff39d93880b9064
StakeSquid,0x696569606ed7e07a3a5f0720f2ece96a79135762
StakeSquid,0x1a6a74648ff8146f9b7df3a7e322506612e13e6a
StakeSquid,0xd22c1c1a1fc452e3312489f1e89676e93c3323f0
StakeSquid,0x7697a886fc3b71a8a88487019337a6bbe5838f1a
StakeSquid,0x7464f99665e9a0906d23e3ece3e637b3d4e97c6a
StakeSquid,0x6f3ce93a09f30f18d728d2364268b5fe9444b89e
Stakeall Finance,0x748aefb5c1c30c4a4ea963a6c49e90c00bdca15b
Staked US,0x1c348c5192aaecf51bbc5f14d8fdf9e3d139536c
Staked US,0xe6de2325ef1aac1f058fae59d3c38a472f569846
Staked US,0x2b3c7d1ef5fdfc0557934019c531d3e70d6200ae
Staked US,0x0df89dd9c34f78f70eb6a528a1eeac9a6238a2af
Staked US,0xe9e284277648fcdb09b8efc1832c73c09b5ecf59
Staked US,0xe91273727203bcc827521fc8b0c762d435c3c5d0
Stakewithus,0x7b8f93130b7c610fb102f1e82e23ad978ed81702
Stakewithus,0x6c7c332a090c8d2085857cf3220ea01c6d45a723
Streaming Fast,0x35917c0eb91d2e21bef40940d028940484230c06
SunTzu,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df
SunTzu,0x1b7e0068ca1d7929c8c56408d766e1510e54d98d
Swift Staking,0xa543abe0ea61b4bbbca3f402442bda4bf7d45992
Swift Staking,0x2e15f3f0d37b191c33ee06e953c8cce4c493b47a
The Powernode,0x01e110178f15aeec1cccc507939109175dc9c121
Thoalt,0x53dbbc9d916b1840a2c4c26b150ba2e13f36e10f
Thomas Block Indexer,0x269ebeee083ce6f70486a67dc8036a889bf322a9
Unit 410,0x8d9b156dfe8fd8191b7a4e1c0f5903b0984afcd3
Unit 410,0x5d7c6e41ca423c4877e0124a9a3de0817dcb43f1
Validatrium,0xfb168335f5a3868a03696904ed38fa95fd167c0e
Vault Staking,0x6fb74b16645466a5f614fd80fb04fcb07cfb4e74
Vincent Taglia,0x1b92e4cba0f82c85c1298af861247849988c788c
Vincent Taglia,0xeddd4ec5d3775de964416b7b9d4da885f530f90a
Wanderer Staking,0x72acbecf3013d7b27421185d3bf369520bf552c8
WaveFive,0x7bb834017672b1135466661d8dd69c5dd0b3bf51
WaveFive,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90
WayneWayner,0xb8ca929e2bd96548cabcabc56cfc9a5147cef0ff
WayneWayner,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9
Wetez,0x376ca6892ab19bfd90515257b5f6b31561c300aa
art3mis cloud,0x8f689a83dd52eaa1d5ad6a40c46189b4a0d70b06
decisionBasis,0xdecba5154aab37ae5e381a19f804f3af4d1bcbb5
decisionBasis,0x63c560997b8338f2b033f3ffdcc0f7c680feec45
